city,city_code
MANCHESTER,1663
MANHATTAN BEACH,1664
MANKATO,1665
MANTORVILLE,1666
MAPLE GROVE,1667
MAPLE LAKE,1668
MAPLE PLAIN,1669
MAPLETON,1670
MAPLEVIEW,1671
MAPLEWOOD,1672
MARBLE,1673
MARCELL,1674
MARGIE,1675
MARIETTA,1676
MARINE ON ST CROIX,1677
MARION,1678
MARION LAKE,1679
MARKVILLE,1680
MARSHALL,1681
MATAWAN,1682
MAX,1683
MAYER,1684
MAYHEW,1685
MAYNARD,1686
MAZEPPA,1687
MCGRATH,1688
MCGREGOR,1689
MCINTOSH,1690
MCKINLEY,1691
MEADOWLANDS,1692
MEDFORD,1693
MEDICINE LAKE,1694
MEDINA,1695
MEIRE GROVE,1696
MELBY,1697
MELROSE,1698
MELRUDE,1699
MENAHGA,1700
MENDOTA,1701
MENDOTA HEIGHTS,1702
MENTOR,1703
MERIDEN,1704
MERRIFIELD,1705
MIDDLE RIVER,1706
MIESVILLE,1707
MILACA,1708
MILAN,1709
MILLERVILLE,1710
MILLVILLE,1711
MILROY,1712
MILTONA,1713
MINNEAPOLIS,1714
MINNEISKA,1715
MINNEOTA,1716
MINNESOTA CITY,1717
MINNESOTA FALLS,1718
MINNESOTA LAKE,1719
MINNETONKA,1720
MINNETONKA BEACH,1721
MINNETONKA MILLS,1722
MINNETRISTA,1723
MIZPAH,1724
MONTEVIDEO,1725
MONTGOMERY,1726
MONTICELLO,1727
MONTROSE,1728
MOORHEAD,1729
MOOSE LAKE,1730
MORA,1731
MORGAN,1732
MORRIS,1733
MORRISTOWN,1734
MORTON,1735
MOTLEY,1736
MOUND,1737
MOUNDS VIEW,1738
MOUNTAIN IRON,1739
MOUNTAIN LAKE,1740
MURDOCK,1741
MYRTLE,1742
MYRTLE LAKE,1743
NASHUA,1744
NASHWAUK,1745
NASSAU,1746
NAVARRE,1747
NAYTAHWAUSH,1748
NEBISH,1749
NELSON,1750
NERSTRAND,1751
NETT LAKE,1752
NEVIS,1753
NEW AUBURN,1754
NEW BRIGHTON,1755
NEW GERMANY,1756
NEW HOPE,1757
NEW LONDON,1758
NEW MARKET,1759
NEW MUNICH,1760
NEW PRAGUE,1761
NEW RICHLAND,1762
NEW TRIER,1763
NEW ULM,1764
NEW YORK MILLS,1765
NEWFOLDEN,1766
NEWPORT,1767
NICKERSON,1768
NICOLLET,1769
NIELSVILLE,1770
NIMROD,1771
NISSWA,1772
NORCROSS,1773
NORTH BRANCH,1774
NORTH MANKATO,1775
NORTH OAKS,1776
NORTH REDWOOD,1777
NORTH ST PAUL,1778
NORTHFIELD,1779
NORTHOME,1780
NORTHROP,1781
NORWOOD,1782
NORWOOD YOUNG AMERIC,1783
NOWTHEN,1784
NOYES,1785
OAK GROVE,1786
OAK ISLAND,1787
OAK PARK,1788
OAK PARK HEIGHTS,1789
OAKDALE,1790
OAKLAND,1791
ODESSA,1792
ODIN,1793
OGEMA,1794
OGILVIE,1795
OKABENA,1796
OKLEE,1797
OLIVIA,1798
ONAMIA,1799
ONIGUM,1800
ORCHARD LAKE,1801
ORLEANS,1802
ORMSBY,1803
ORONO,1804
ORONOCO,1805
ORR,1806
ORROCK,1807
ORTONVILLE,1808
OSAGE,1809
OSAKIS,1810
OSLO,1811
OSSEO,1812
OSTRANDER,1813
OTISCO,1814
OTSEGO,1815
OTTERTAIL,1816
OUTING,1817
OWATONNA,1818
OYLEN,1819
PAGE,1820
PALISADE,1821
PALO,1822
PARK RAPIDS,1823
PARKERS PRAIRIE,1824
PARKVILLE,1825
PAYNESVILLE,1826
PEASE,1827
PELICAN LAKE,1828
PELICAN RAPIDS,1829
PEMBERTON,1830
PENCER,1831
PENGILLY,1832
PENNINGTON,1833
PENNOCK,1834
PEQUOT LAKES,1835
PERHAM,1836
PERLEY,1837
PETERSON,1838
PHELPS,1839
PICKWICK,1840
PIERZ,1841
PIKE BAY,1842
PILLAGER,1843
PILOT MOUND,1844
PINE CITY,1845
PINE ISLAND,1846
PINE RIVER,1847
PINE SPRINGS,1848
PINEWOOD,1849
PIPESTONE,1850
PITT,1851
PLAINVIEW,1852
PLATO,1853
PLUMMER,1854
PLYMOUTH,1855
POKEGAMA TOWNSHIP,1856
POMROY LAKE,1857
PONEMAH,1858
PONSFORD,1859
PORTER,1860
PRAIRIE LAKE,1861
PRESTON,1862
PRINCETON,1863
PRINSBURG,1864
PRIOR LAKE,1865
PROCTOR,1866
PROSPER,1867
PROVIDENCE,1868
PUPOSKY,1869
QUAMBA,1870
RACINE,1871
RADIUM,1872
RAMEY,1873
RAMSEY,1874
RANDALL,1875
RANDOLPH,1876
RANIER,1877
RANUM,1878
RAPIDAN,1879
RAY,1880
RAYMOND,1881
READING,1882
READS LANDING,1883
RED LAKE,1884
RED LAKE FALLS,1885
RED WING,1886
REDBY,1887
REDWOOD FALLS,1888
REGAL,1889
REMER,1890
RENO,1891
RENVILLE,1892
REVERE,1893
RICE,1894
RICHFIELD,1895
RICHMOND,1896
RICHVILLE,1897
RICHWOOD,1898
RIDGE,1899
RIVERTON,1900
ROBBINSDALE,1901
ROCHERT,1902
ROCHESTER,1903
ROCK CREEK,1904
ROCK DELL,1905
ROCKFORD,1906
ROCKVILLE,1907
ROGERS,1908
ROLLAG,1909
ROLLINGSTONE,1910
RONNEBY,1911
ROOSEVELT,1912
ROSCOE,1913
ROSE CITY,1914
ROSE CREEK,1915
ROSEAU,1916
ROSEMOUNT,1917
ROSEVILLE,1918
ROSS,1919
ROTHSAY,1920
ROUND LAKE,1921
ROUND PRAIRIE,1922
ROYALTON,1923
RUSH CITY,1924
RUSH LAKE,1925
RUSHFORD,1926
RUSHFORD VILLAGE,1927
RUSHMORE,1928
RUSSELL,1929
RUTHTON,1930
RUTLEDGE,1931
SABIN,1932
SACRED HEART,1933
SAGINAW,1934
SALOL,1935
SANBORN,1936
SANDSTONE,1937
SANTIAGO,1938
SARGEANT,1939
SARTELL,1940
SAUK CENTRE,1941
SAUK RAPIDS,1942
SAUM,1943
SAVAGE,1944
SAWYER,1945
SCANDIA,1946
SCANLON,1947
SCHROEDER,1948
SEAFORTH,1949
SEARLES,1950
SEBEKA,1951
SEDAN,1952
SHAFER,1953
SHAKOPEE,1954
SHELDON,1955
SHELLY,1956
SHERBURN,1957
SHEVLIN,1958
SHIELDSVILLE,1959
SHOREVIEW,1960
SHOREWOOD,1961
SHOTLEY,1962
SHOVEL LAKE,1963
SIDE LAKE,1964
SILICA,1965
SILVER BAY,1966
SILVER CREEK,1967
SILVER LAKE,1968
SILVERDALE,1969
SIOUX VALLEY,1970
SKIME,1971
SKYLINE,1972
SLAYTON,1973
SLEEPY EYE,1974
SOBIESKI,1975
SODERVILLE,1976
SOGN,1977
SOLWAY,1978
SOUDAN,1979
SOUTH BEND TOWNSHIP,1980
SOUTH HAVEN,1981
SOUTH INTL FALLS,1982
SOUTH LAKE,1983
SOUTH ST PAUL,1984
